ID	Age	English	BornInUK	Country	Sex	Condition	QuestionNo	REALQno	Answer	Psaid	CorrectAnswer	correctYN	Correct	Confidence	SecondAnswer	Switched	SaidYes	SaidNo	MajSaid	MajCorrect	MajDiffered	noDisagreed
1	5	4	2	USA	2	1	1	3	1	yes	1	yes	1	4	1	0	10	2	yes	1	0	2
1	5	4	2	USA	2	1	2	8	2	no	2	no	1	5	2	0	0	12	no	1	0	0
1	5	4	2	USA	2	1	3	18	2	no	2	no	1	4	2	0	4	8	no	1	0	4
1	5	4	2	USA	2	1	5	2	2	no	2	no	1	5	2	0	0	12	no	1	0	0
1	5	4	2	USA	2	1	7	5	1	yes	1	yes	1	4	1	0	8	4	yes	1	0	4
1	5	4	2	USA	2	1	8	6	2	no	2	no	1	5	2	0	0	12	no	1	0	0
1	5	4	2	USA	2	1	9	7	1	yes	1	yes	1	5	1	0	12	0	yes	1	0	0
1	5	4	2	USA	2	1	11	10	2	no	2	no	1	4	2	0	4	8	no	1	0	4
1	5	4	2	USA	2	1	13	12	2	no	2	no	1	4	2	0	4	8	no	1	0	4
1	5	4	2	USA	2	1	15	14	2	no	2	no	1	4	2	0	4	8	no	1	0	4
1	5	4	2	USA	2	1	21	21	1	yes	1	yes	1	4	1	0	10	2	yes	1	0	2
1	5	4	2	USA	2	1	22	22	2	no	2	no	1	5	2	0	4	8	no	1	0	4
1	5	4	2	USA	2	1	23	23	1	yes	1	yes	1	4	1	0	12	0	yes	1	0	0
1	5	4	2	USA	2	1	24	24	2	no	2	no	1	4	2	0	0	12	no	1	0	0
2	2	4	1		2	1	1	3	1	yes	1	yes	1	4	1	0	10	2	yes	1	0	2
2	2	4	1		2	1	2	8	2	no	2	no	1	5	2	0	0	12	no	1	0	0
2	2	4	1		2	1	3	18	2	no	2	no	1	4	2	0	4	8	no	1	0	4
2	2	4	1		2	1	4	1	1	yes	1	yes	1	4	1	0	12	0	yes	1	0	0
2	2	4	1		2	1	5	2	2	no	2	no	1	5	2	0	4	8	no	1	0	4
2	2	4	1		2	1	6	4	2	no	2	no	1	5	2	0	2	10	no	1	0	2
2	2	4	1		2	1	7	5	1	yes	1	yes	1	4	1	0	12	0	yes	1	0	0
