ID	QualtricsID	gc	Instructions	CONDITION	AGE	LANG	EDU	SEX	Qnumber	STIMULUS	Response	CORRECT	CONFIDENCE
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	1	1	1	1	3
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	2	1	1	0	3
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	3	2	1	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	4	2	1	0	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	5	1	2	0	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	6	1	2	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	7	2	1	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	8	2	2	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	9	1	1	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	10	1	2	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	11	2	2	0	1
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	12	2	1	0	4
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	13	1	2	0	1
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	14	1	2	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	15	2	1	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	16	2	2	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	17	1	1	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	18	1	2	1	1
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	19	2	2	0	1
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	20	2	1	0	2
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	21	1	1	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	22	1	2	1	5
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	23	2	1	1	1
1	R_eX7fSk4e60WbrRH	1	control	2	1	4	1	1	24	2	2	1	5
2	R_721JU47WjYsjORL	1	condition1	1	2	4	0	1	1	1	1	1	2
2	R_721JU47WjYsjORL	1	condition1	1	2	4	0	1	2	1	1	0	3
2	R_721JU47WjYsjORL	1	condition1	1	2	4	0	1	3	2	1	1	2
