ID	firstID	ResponseID	Lab	Lab1	Instructions	Condition	Age	English	UK	Education	Sex	SocInfo	Familiarity	Believe	ExpectOPP	ExpectSame	RememberTask	BelieveTask	Strategy
1		R_77ZelNHZB6gyngF	P	2	condition1	1	5	4	0	4	1	0	5	4	4	4	1	1	2
2		R_9SwlNNeKZFW3Lkp	P	2	condition1	1	3	4	0	2	1	0	2	1	3	3	1	2	2
3		R_cILk4ZQ3HmspVoF	P	2	condition1	1	3	4	0	6	1	0	1	1	3	3	2	3	2
4		R_8HUpF9pBrLWb16R	P	2	condition1	1	2	4	0	1	1	0	2	3	3	3	2	3	2
5	1	R_721JU47WjYsjORL	P	2	condition1	1	2	4	0	1	1	0	2	2	3	2	2	1	4
6	2	R_enelFMtAFIXnZTT	P	2	condition1	1	2	4	0	5	1	0	1	3	3	4	3	3	1
7	3	R_eW2VM1n4sRTUeEZ	P	2	condition1	1	2	4	0	1	1	0	4	5	4		2	3	2
8	5	R_diimvl5mcNY5SbX	P	2	condition1	1	5	4	0	2	1	0	2	2	6	6	2	3	1
9	7	R_24VY837cxXeTeZL	P	2	condition1	1	2	4	0	5	1	0	1	2	2	2	1	1	2
10	9	R_4ZowjZnYY98L5C5	P	2	condition1	1	2	4	0	1	1	0	0	1	2	2	3	2	1
11	10	R_868wtvAGyiK7FI1	P	2	condition1	1	2	4	0	1	1	0	1	5	2	4	2	2	2
12	11	R_b29RiwpJWgDi6hv	P	2	condition1	1	2	4	0	1	1	0	2	3	4	5	2	2	2
13	12	R_aeHwdLbIZSuIqs5	P	2	condition1	1	2	4	0	3	1	0	0	1	3	6	3	3	2
14	13	R_b7ViedCIItet0R7	P	2	condition1	1	5	4	0	2	1	0	1	3	4	4	2	2	2
15	16	R_0dJd1k3gFCNmLaJ	P	2	condition1	1	2	4	0	1	1	0	4	4	5	5	2	2	1
16	17	R_eWnGywyCNPO1Wuh	P	2	condition1	1	2	4	0	1	1	0	1	1	4	4	3	3	2
17	18	R_1TSX0bF2oXjCMV7	P	2	condition1	1	3	4	0	5	1	0	4	4	6	6	3	3	2
18	20	R_b8zGLokglL3gjk1	P	2	condition1	1	2	4	0	6	1	0	6	5	4	4	2	2	1
19	23	R_23kh0vplHqhScvz	P	2	condition1	1	2	4	0	4	1	0	3	4	3	3	1	1	2
20	24	R_e3deUVl1ayEA8ZL	P	2	condition1	1	2	4	0	3	1	0	1	3	4	4	1	1	2
21		R_9KPfZaqahSgAL9b	P	2	condition1	1	2	4	0	5	2	0	5	3	3	3	3	4	1
22		R_570c54p6PspiJi5	P	2	condition1	1	2	4	0	3	2	0	5	6	5	6	1	1	1
23		R_b4yRovm0xLGhqyV	P	2	condition1	1	3	4	0	1	2	0	3	5	3	3	3	4	2
24		R_8deWBe9IDxJrzlr	P	2	condition1	1	3	4	0	1	2	0	2	4	3	3	1	3	2
25		R_b2z1ZAbiB06oMId	P	2	condition1	1	5	5	0	2	2	0	2	3	1	1	1	3	2
26		R_0weKmlP2IMGe3gV	P	2	condition1	1	2	4	0	2	2	0	1	4	4	4	3	4	2
27		R_8kpx5aDA2wFmYx7	P	2	condition1	1	5	4	0	2	2	0	0	3	2	2	2	2	2
28		R_6G66OloHrCGSjvn	P	2	condition1	1	3	4	0	2	2	0	1	3	3	3	1	2	6
29		R_25FCiqaknKj3qV7	P	2	condition1	1	2	4	0	1	2	0	0	1	3	2	3	4	5
30		R_08JLTNkRNYpRPTf	P	2	condition1	1	2	4	0	3	2	0	5	4	4	4	3	1	1
31	4	R_bHnkgKwiSXnP5hb	P	2	condition1	1	2	4	0	1	2	0	1	1	5	5	3	1	6
32	6	R_9TDjPoYjvoyOpgx	P	2	condition1	1	2	4	0	2	2	0	1	3	3	3	1	2	2
33	8	R_2b2wR6INjZzsksJ	P	2	condition1	1	2	4	0	5	2	0	4	3	3	3	2	2	1
34	14	R_54Gspcxrrosmyyx	P	2	condition1	1	2	4	0	1	2	0	5	6	1	1	1	1	2
35	15	R_42vGo4PoBENB9EV	P	2	condition1	1	5	4	0	1	2	0	2	1	4	5	1	1	1
36	19	R_2twPccwmBuZLIYB	P	2	condition1	1	5	4	0	2	2	0	1	1	5	4	2	2	2
37	21	R_1SomcMAO4LZsm7r	P	2	condition1	1	5	4	0	2	2	0	1	3	3	3	1	2	6
38	22	R_bmjTkIp7g3Dqh4V	P	2	condition1	1	5	4	0	2	2	0	1	3	3	3	2	4	2
39	26	R_a61C7CtLRMeSErr	P	2	condition1	1	2	4	0	3	2	0	5	5	6	5	1	2	2
40	28	R_3JdWPYjL6a9fTqR	P	2	condition1	1	3	4	0	5	2	0	3	4	3	4	3	1	2
41		R_8nRON4HzGLiot1z	P	2	condition2	3	2	4	0	4	1	0	4	4	4	4	2	2	2
42		R_1ZXe3D0M7Zdih2R	P	2	condition2	3	5	4	0	2	1	0	5	4	4	3	1	1	2
43		R_1SxNdxlB9261wwZ	P	2	condition2	3	2	4	0	2	1	0	1	4	5	5	1	3	2
44		R_74A6LPhwRRYEhsF	P	2	condition2	3	2	4	0	3	1	0	3	3	4	4	2	2	2
45		R_bHoUQiaWdCeWJ8x	P	2	condition2	3	2	4	0	3	1	0	3	4	4	4	2	2	1
46	33	R_1YWdxS5pIXh2r2J	P	2	condition2	3	5	4	0	2	1	0	5	2	4	3	3	4	1
47	34	R_d5wzTOJQVbDHG2p	P	2	condition2	3	3	4	0	3	1	0	4	4	4	3	2	2	2
48	37	R_0Sq04czJwE7q28t	P	2	condition2	3	5	4	0	2	1	0	2	3	4	4	2	3	2
49	38	R_a5ByTNLnfPsvZiZ	P	2	condition2	3	2	4	0	5	1	0	2	1	1	2	1	1	2
50	39	R_egL7Q7aAGqZtxHv	P	2	condition2	3	2	4	0	5	1	0	3	3	3	3	3	1	2
51	40	R_5mpQuvuTuJLAmI5	P	2	condition2	3	2	4	0	5	1	0	4	4	4	4	3	1	2
52	41	R_6uk0laNOCaxDgsl	P	2	condition2	3	2	4	0	2	1	0	4	5	5	4	2	1	1
53	42	R_5hUrHtmX6mRUmxf	P	2	condition2	3	2	4	0	5	1	0	3	3	4	3	3	4	2
54	43	R_bg9J6Y5v0zfto2N	P	2	condition2	3	2	4	0	1	1	0	1	1	2	2	1	2	2
55	44	R_eRTnIpEymW1a2pv	P	2	condition2	3	2	4	0	5	1	0	2	5	5	5	3	1	2
56	46	R_3k3zElU66GnQcVD	P	2	condition2	3	2	4	0	3	1	0	2	3	3	3	1	2	2
57	47	R_8Bb3Yf0wOzLGhxP	P	2	condition2	3	5	4	0	2	1	0	4	5	2	4	1	2	2
58	48	R_abMVPvGqqQOs1kp	P	2	condition2	3	5	4	0	3	1	0	4	4	5	5	1	2	2
59	49	R_5bSwCkWsRDOJ5Bj	P	2	condition2	3	2	4	0	1	1	0	4	2	3	3	2	2	2
60	50	R_1HYIbgdhyn1n6jb	P	2	condition2	3	5	4	0	6	1	0	2	4	3	3	3	3	1
61		R_39ruR0uMO6pMrtj	P	2	condition2	3	2	4	0	2	2	0	2	3	3	3	1	2	2
62		R_77e98FMgnmd2LAx	P	2	condition2	3	2	4	0	1	2	0	1	3	3	3	3	2	2
63		R_blQuPaYszW5DyxT	P	2	condition2	3	5	4	0	1	2	0	3	3	3	3	2	2	6
64		R_7P59zA8YibzoT7T	P	2	condition2	3	5	4	0	4	2	0	2	3	2	3	3	4	2
65		R_9T9XpUEnGUzZlMp	P	2	condition2	3	2	4	0	2	2	0	1	4	3	3	1	2	1
66		R_6h9qTx2WE14bs0t	P	2	condition2	3	2	4	0	2	2	0	1	1	3	3	1	2	2
67		R_08PJrDiAzOLgnVX	P	2	condition2	3	5	4	0	1	2	0	1	3	3	3	3	4	2
68		R_8zREVAPoqXnFuYd	P	2	condition2	3	5	4	0	2	2	0	2	3	2	3	2	2	2
69	32	R_56ZUADRkdmlezu5	P	2	condition2	3	2	4	0	4	2	0	2	4	2	2	2	3	2
70	35	R_bOXi28qZqqBEokJ	P	2	condition2	3	2	4	0	1	2	0	2	4	2	3	1	1	2
71	36	R_2nROKkzK9mQp40J	P	2	condition2	3	5	5	0	3	2	0	2	3	3	3	2	3	2
72	45	R_ehD0egTKTL4KOEd	P	2	condition2	3	2	4	0	1	2	0	2	4	4	4	2	2	1
73	53	R_8w5fN3dmzjdLtJz	P	2	condition2	3	2	4	0	2	2	0	4	2	4	5	1	2	2
74	54	R_d7uoqPj2G7AiFhz	P	2	condition2	3	2	4	0	5	2	0	1	4	4	4	1	1	1
75	57	R_5nhIYsK3o5efnzn	P	2	condition2	3	5	4	0	2	2	0		2	3	3	2	2	1
76	58	R_9Bld7hMfzYASdMh	P	2	condition2	3	2	4	0	2	2	0	3	2	4	4	1	3	2
77	59	R_bd9HDSmWi6PiuTb	P	2	condition2	3	2	4	0	5	2	0	1	4	4	4	2	2	2
78	60	R_6A7wxuzF5AcRT8h	P	2	condition2	3	2	4	0	3	2	0	1	3	3	3	3	3	2
79	61	R_d6ExBfD7CsTeXIx	P	2	condition2	3	3	4	0	3	2	0	5	3	3	4	1	1	2
